Updated: 20-Apr-22-13:45:54	 Wion News

1	Amid Russia's Donbas offensive, US sends warplanes to Ukraine
	https://tinyurl.com/y2tc3ml5

2	Covid in India: Take pre-emptive action if needed, Centre tells these states
	https://tinyurl.com/yxzhbsvl

3	Traditional Chinese medicine to fight virus? China's health platform disagrees
	https://tinyurl.com/yxf2gtq6

4	Virat Kohli is overcooked, if anyone needs a break it's him: Ravi Shastri
	https://tinyurl.com/y57q9762

5	Watch | Japanese researchers develop taste-enhancing electric chopsticks
	https://tinyurl.com/y5u7lec5

6	Watch | Is Keto diet meant for everyone?
	https://tinyurl.com/yxhpxoee

7	Johnny Depp calls Amber Heard accusations 'heinous'
	https://tinyurl.com/y53lp6v3

8	Russia announces expulsion of 36 European Union diplomats
	https://tinyurl.com/yxhv29el

9	Ukraine Conflict: Why a victory in Mariupol is important to Russia
	https://tinyurl.com/y5sl9gs3

10	West 'doing everything to drag out' Ukraine conflict: Russia's defence minister
	https://tinyurl.com/y5np6559

11	Russia issues Mariupol ultimatum amid Donbas offensive
	https://tinyurl.com/y3osd92v

12	Breakthrough in search for aliens? What does a habitable ice shell on Jupiter's moon Europa mean?
	https://tinyurl.com/y2z5dvoy

13	US man sues company for surprise birthday party, wins $450,000 compensation
	https://tinyurl.com/yxs5fk2o

14	One of the most mysterious buildings in US to open for public after almost half a century
	https://tinyurl.com/y3m6j9jx

15	Ezra Miller gets arrested again for second-degree assault
	https://tinyurl.com/y57gemxu

16	'You'll Never Walk Alone': Man Utd, Liverpool fans unite for grieving Ronaldo
	https://tinyurl.com/y22r9q6m

17	Might have to get umpire a beer: Hazlewood on Stoinis-wide ball incident
	https://tinyurl.com/yyvlfbuh

18	Updated IPL 2022 points table after RCB vs LSG clash
	https://tinyurl.com/y4md4qst

19	Du Plessis, Hazlewood guide RCB to 18-run win over LSG in IPL 2022
	https://tinyurl.com/y3vkcbvz

20	Dominic Thiem loses against John Millman on return from injury at Serbia Open
	https://tinyurl.com/y2s83795

21	'Direct hit on target': IAF fires BrahMos missile from Su30 fighter aircraft
	https://tinyurl.com/y6jalrml

22	As part of close maritime cooperation, India, Maldives unveil navigation chart
	https://tinyurl.com/y4t735vf

23	India should build better communication infrastructure at China border: Expert
	https://tinyurl.com/y3xp8pls

24	China has built three mobile towers close to LAC, claims LAHDC councillor
	https://tinyurl.com/yyhsg7ct

25	90% jump in Covid cases? Central, Kerala govts in tussle over 'late reporting'
	https://tinyurl.com/y4vkkdrr

26	India extends Covid medical insurance policy for health workers for 6 months
	https://tinyurl.com/y5wtwg48

27	International Monetary Fund projects growth rate of 8% for India in 2022
	https://tinyurl.com/y5qjhrww

28	India's PM Narendra Modi to visit three European countries in May's first week
	https://tinyurl.com/y63c6y2x

29	J&K forces on alert after recovering Aadhar cards from Pak terrorists
	https://tinyurl.com/y5vt4gru

30	Indian Coast Guard trains counterparts from 17 countries in combating oil spil
	https://tinyurl.com/yyy8h973

31	We want Rajapaksa to be present in parliament tomorrow: Opposition MP
	https://tinyurl.com/y4z35vcl

32	Multiple blasts rock boys school in Afghan capital Kabul, 6 killed
	https://tinyurl.com/y5r7ches

33	Pakistan PM Shehbaz Sharif's long-awaited cabinet takes oath today
	https://tinyurl.com/y2qsjb8g

34	Lynching of Priyantha Kumara: Court gives death sentence to 6, lifer to 7
	https://tinyurl.com/y63ggpyb

35	Pakistan is turning off lights in homes and businesses. Here is why
	https://tinyurl.com/y567qzc4

36	Bilawal Bhutto likely to be Pakistan's next foreign minister, say sources
	https://tinyurl.com/y6kqehp2

37	Sri Lankan president appoints 17 cabinet ministers amid calls for govt ouster
	https://tinyurl.com/yyav82m4

38	Watch | Gravitas Plus: The story of Shehbaz Sharif
	https://tinyurl.com/yyw5xdz9

39	To mark New Year holiday, Myanmar's junta govt releases over 1,600 prisoners
	https://tinyurl.com/y2erqp79

40	China and Solomon Islands ink controversial security pact
	https://tinyurl.com/y3nrxks9

41	US concerned about 'lack of transparency' in China pact with Solomon Islands
	https://tinyurl.com/y2rvqkh3

42	Shanghai to ease Covid restrictions as shutdown bites businesses hard
	https://tinyurl.com/y69gkqls

43	Fox News anchor Tucker Carlson gets trolled for his show on masculinity
	https://tinyurl.com/y5gjvba2

44	Johnson's office hacked? Research group claims Pegasus spyware behind attack
	https://tinyurl.com/yyd4klor

45	Japanese fast-food company sacks director for sexist remarks
	https://tinyurl.com/yy4ynkbz

46	Austrian artist Nitsch, famous for his human blood paintings dies aged 83
	https://tinyurl.com/y6bq7hrg

47	US judge rejects Biden administration's mask mandate for public transport
	https://tinyurl.com/yyrxmeb3

48	Uber relaxes mask rules for drivers and riders in US
	https://tinyurl.com/y53k5dgg

49	Priyanka Chopra's first look from 'It's All Coming Back To Me' is out!
	https://tinyurl.com/y32da6tv

50	Johnny Depp's doctor recalls finding actor's severed finger on kitchen floor
	https://tinyurl.com/y3kbobn2

51	Huma Qureshi to play famous chef Tarla Dalal in new biopic
	https://tinyurl.com/yxtokuda

52	Bob Odenkirk honoured with Hollywood Walk of Fame star
	https://tinyurl.com/y6ajyemm

53	'KGF Chapter 2' Box Office: Yash's film is unstoppable, to cross 'RRR' soon?
	https://tinyurl.com/y2kkgf9c

54	'Jayeshbhai Jordaar' trailer: Ranveer tackles female infanticide with humour
	https://tinyurl.com/y5gu5acw

55	Mac Miller's drug dealer sentenced to 11 years in prison
	https://tinyurl.com/y6jta9g5

56	'KGF: Chapter 2' creates history at box office; breaks record of 'Baahubali'
	https://tinyurl.com/y32fql65

57	Kim Kardashian vs Blac Chyna lawsuit: Juror backs out over Kim's s** tape
	https://tinyurl.com/y5ouuosy

58	Varun Dhawan's first look from his upcoming film 'Bawaal' unveiled
	https://tinyurl.com/y68qxdoy

59	Jason Momoa to star in Warner Bros' 'Minecraft'
	https://tinyurl.com/y298m5hf

60	Australian star Rebel Wilson lost 35 kgs by following this diet
	https://tinyurl.com/yyqhrmdk

61	After a 2-year ban, hugs are back at Disneyland
	https://tinyurl.com/y3etv8ru

62	Rihanna stuns yet again in cut-out minidress flaunting her baby bump
	https://tinyurl.com/yxhks9aq

63	Here are some simple tips to help you ease your Covid symptoms at home
	https://tinyurl.com/y2t9snzy

64	Institutional investors in Meta highlight how board members lack independence
	https://tinyurl.com/y5j3c25w

65	Former Twitter CEO Jack Dorsey slams company's board after it adopts 'poison pill'
	https://tinyurl.com/y5sqtblm

66	Why is one side of the Moon different from the other? An asteroid hit, perhaps.
	https://tinyurl.com/y46kzlh8

67	Rare sighting as alignment of four planets will be visible through April. Here's how to watch it
	https://tinyurl.com/y434huxk

68	Expanding problem of space debris: What is space junk? Why is it a problem?
	https://tinyurl.com/yynwjf6u

69	Gravitas: Is Imran Khan planning a rebellion?
	https://tinyurl.com/y2d97n44

70	PM Narendra Modi inaugurates centre for traditional medicine in India
	https://tinyurl.com/y685ohdl

71	Russian invasion enters new phase: Allies pledge artillery, air defence aid to Ukraine
	https://tinyurl.com/y63t9xlq

72	Russian astronauts take a spacewalk to install robotic arm controls on ISS
	https://tinyurl.com/y43g6xxy

73	Watch | Japanese researchers develop taste-enhancing electric chopsticks
	https://tinyurl.com/y5u7lec5

74	Russian astronauts take a spacewalk to install robotic arm controls on ISS
	https://tinyurl.com/y43g6xxy

75	Watch | Japanese researchers develop taste-enhancing electric chopsticks
	https://tinyurl.com/y5u7lec5

76	This 45-ton dragon-horse amazes crowd in France. How does it work?
	https://tinyurl.com/yxpfehz5

77	Watch | Easter blessings for the pets!
	https://tinyurl.com/y46l84e5

78	North Korea celebrates founder with dance, music but no military parade
	https://tinyurl.com/yxbhsrxr

79	Damascus: 15,000 doves are finally free!
	https://tinyurl.com/y4uek9hg

80	This Turkish kebab almost made it to space
	https://tinyurl.com/yxrxhu7t

81	How Congo Women Will Benefit from Coffee?
	https://tinyurl.com/yxksqnyc

82	Salvadorans celebrate Easter dressed as 'devils', whip people in streets
	https://tinyurl.com/yxc3tpgp

83	5 things about Ketanji Brown Jackson as US Supreme Court gets first black woman judge
	https://tinyurl.com/y7ytdr9o

